,目标客户编号,品牌类型,a1,a2,a3,a4,a5,a6,a7,a8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,购买意愿
1037,1038.0,2.0,41.7,35.77,37.09,37.48,33.32,39.15,35.62,37.0,2.0,29.0,2.0,2.0,5.0,6.0,1,1991.0,5.0,4.0,1.0,5.0,6.0,9.0,25.0,13.0,0.0,0.0
1081,1082.0,1.0,42.61,45.58,37.09,41.17,38.11,41.69,39.86,40.33,2.0,32.0,1.0,12.0,3.0,5.0,1,1988.0,6.0,12.0,6.0,1.0,37.0,33.0,33.0,25.0,0.0,0.0
1123,1124.0,2.0,61.66,71.08,48.36,66.13,44.87,91.09,55.62,49.97,2.0,38.0,1.0,11.0,3.0,5.0,1,1982.0,5.0,15.0,7.0,9.0,13.0,5.0,10.0,20.0,13.0,0.0
1168,1169.0,2.0,53.73,55.84,44.6,54.65,44.37,44.98,48.65,52.57,2.0,12.0,1.0,4.0,4.0,5.0,2,1993.0,5.0,5.0,3.0,5.0,80.0,70.0,54.0,0.0,0.0,0.0
1253,1254.0,2.0,44.46,44.45,44.45,44.43,44.43,44.44,44.44,44.43,2.0,5.0,1.0,1.0,3.0,5.0,1,1984.0,5.0,10.0,4.0,8.0,17.0,11.0,9.0,0.0,20.0,0.0
1253,1254.0,2.0,44.46,44.45,44.45,44.43,44.43,44.44,44.44,44.43,2.0,5.0,1.0,1.0,3.0,5.0,1,1984.0,5.0,10.0,4.0,8.0,17.0,11.0,9.0,0.0,20.0,0.0
1489,1490.0,1.0,56.5,53.55,44.45,47.7,45.99,52.81,51.16,54.77,1.0,19.0,1.0,14.0,3.0,5.0,1,1986.0,6.0,14.0,6.0,2.0,37.0,34.0,32.0,17.0,7.0,0.0
1510,1511.0,2.0,46.55,53.18,51.96,40.7,42.65,44.44,35.66,41.1,1.0,30.0,2.0,10.0,3.0,5.0,1,1980.0,5.0,16.0,4.0,7.0,10.0,5.0,4.0,20.0,20.0,0.0
1529,1530.0,1.0,47.03,51.92,55.58,51.86,47.51,47.51,48.83,47.76,2.0,40.0,2.0,20.0,3.0,5.0,1,1980.0,6.0,20.0,3.0,2.0,50.0,40.0,40.0,10.0,5.0,0.0
51,52.0,1.0,68.54,75.37,62.94,71.71,49.29,55.56,70.91,55.12,2.0,11.0,1.0,4.0,3.0,5.0,1,1985.0,6.0,11.0,4.0,7.0,25.0,10.0,10.0,20.0,28.0,0.0
1510,1511.0,2.0,46.55,53.18,51.96,40.7,42.65,44.44,35.66,41.1,1.0,30.0,2.0,10.0,3.0,5.0,1,1980.0,5.0,16.0,4.0,7.0,10.0,5.0,4.0,20.0,20.0,0.0
1757,1758.0,2.0,33.16,41.56,40.7,37.48,25.23,39.15,37.89,33.32,1.0,13.0,1.0,2.0,3.0,5.0,1,1992.0,6.0,3.0,4.0,7.0,14.0,19.0,25.0,14.0,5.0,0.0
19,20.0,3.0,63.38,51.77,40.7,59.66,53.93,50.59,57.65,47.41,1.0,2.0,3.0,4.0,3.0,5.0,1,1994.0,6.0,4.0,4.0,8.0,40.0,14.0,21.0,15.0,0.0,0.0
42,43.0,1.0,56.51,48.6,52.11,57.92,53.21,41.57,51.23,56.32,1.0,20.0,1.0,5.0,3.0,5.0,1,1989.0,5.0,8.0,4.0,3.0,26.0,14.0,10.0,10.0,25.0,0.0
262,263.0,2.0,73.71,59.06,29.59,67.08,53.54,50.26,66.67,44.43,1.0,3.0,2.0,6.0,2.0,3.0,#NULL!,1992.0,6.0,5.0,4.0,8.0,30.0,8.0,20.0,30.0,10.0,0.0
283,284.0,2.0,67.94,50.54,51.82,52.28,49.45,49.73,55.56,51.44,1.0,14.0,3.0,2.0,3.0,5.0,1,1991.0,5.0,5.0,7.0,9.0,35.0,30.0,30.0,0.0,0.0,0.0
262,263.0,2.0,73.71,59.06,29.59,67.08,53.54,50.26,66.67,44.43,1.0,3.0,2.0,6.0,2.0,3.0,#NULL!,1992.0,6.0,5.0,4.0,8.0,30.0,8.0,20.0,30.0,10.0,0.0
604,605.0,2.0,42.72,44.45,33.34,47.7,36.4,39.15,44.44,44.43,2.0,11.0,1.0,3.0,3.0,2.0,#NULL!,1995.0,5.0,4.0,3.0,8.0,30.0,15.0,20.0,20.0,15.0,0.0
262,263.0,2.0,73.71,59.06,29.59,67.08,53.54,50.26,66.67,44.43,1.0,3.0,2.0,6.0,2.0,3.0,#NULL!,1992.0,6.0,5.0,4.0,8.0,30.0,8.0,20.0,30.0,10.0,0.0
604,605.0,2.0,42.72,44.45,33.34,47.7,36.4,39.15,44.44,44.43,2.0,11.0,1.0,3.0,3.0,2.0,#NULL!,1995.0,5.0,4.0,3.0,8.0,30.0,15.0,20.0,20.0,15.0,0.0
1081,1082.0,1.0,42.61,45.58,37.09,41.17,38.11,41.69,39.86,40.33,2.0,32.0,1.0,12.0,3.0,5.0,1,1988.0,6.0,12.0,6.0,1.0,37.0,33.0,33.0,25.0,0.0,0.0
1168,1169.0,2.0,53.73,55.84,44.6,54.65,44.37,44.98,48.65,52.57,2.0,12.0,1.0,4.0,4.0,5.0,2,1993.0,5.0,5.0,3.0,5.0,80.0,70.0,54.0,0.0,0.0,0.0
1253,1254.0,2.0,44.46,44.45,44.45,44.43,44.43,44.44,44.44,44.43,2.0,5.0,1.0,1.0,3.0,5.0,1,1984.0,5.0,10.0,4.0,8.0,17.0,11.0,9.0,0.0,20.0,0.0
262,263.0,2.0,73.71,59.06,29.59,67.08,53.54,50.26,66.67,44.43,1.0,3.0,2.0,6.0,2.0,3.0,#NULL!,1992.0,6.0,5.0,4.0,8.0,30.0,8.0,20.0,30.0,10.0,0.0
1480,1481.0,1.0,72.22,74.15,47.92,74.5,44.43,47.19,57.65,51.87,1.0,5.0,2.0,4.0,4.0,2.0,#NULL!,1977.0,5.0,18.0,3.0,6.0,38.0,19.0,18.0,25.0,10.0,0.0
1253,1254.0,2.0,44.46,44.45,44.45,44.43,44.43,44.44,44.44,44.43,2.0,5.0,1.0,1.0,3.0,5.0,1,1984.0,5.0,10.0,4.0,8.0,17.0,11.0,9.0,0.0,20.0,0.0
1529,1530.0,1.0,47.03,51.92,55.58,51.86,47.51,47.51,48.83,47.76,2.0,40.0,2.0,20.0,3.0,5.0,1,1980.0,6.0,20.0,3.0,2.0,50.0,40.0,40.0,10.0,5.0,0.0
1529,1530.0,1.0,47.03,51.92,55.58,51.86,47.51,47.51,48.83,47.76,2.0,40.0,2.0,20.0,3.0,5.0,1,1980.0,6.0,20.0,3.0,2.0,50.0,40.0,40.0,10.0,5.0,0.0
1529,1530.0,1.0,47.03,51.92,55.58,51.86,47.51,47.51,48.83,47.76,2.0,40.0,2.0,20.0,3.0,5.0,1,1980.0,6.0,20.0,3.0,2.0,50.0,40.0,40.0,10.0,5.0,0.0
604,605.0,2.0,42.72,44.45,33.34,47.7,36.4,39.15,44.44,44.43,2.0,11.0,1.0,3.0,3.0,2.0,#NULL!,1995.0,5.0,4.0,3.0,8.0,30.0,15.0,20.0,20.0,15.0,0.0
7,8.0,3.0,59.08,48.15,44.45,60.13,55.55,55.56,40.06,44.43,1.0,22.0,6.0,2.0,4.0,4.0,#NULL!,1999.0,5.0,1.0,5.0,8.0,22.0,14.0,8.0,20.0,20.0,0.0
42,43.0,1.0,56.51,48.6,52.11,57.92,53.21,41.57,51.23,56.32,1.0,20.0,1.0,5.0,3.0,5.0,1,1989.0,5.0,8.0,4.0,3.0,26.0,14.0,10.0,10.0,25.0,0.0
99,100.0,2.0,82.8,79.47,81.56,84.72,81.0,83.06,7.88,78.11,1.0,7.0,2.0,9.0,3.0,2.0,#NULL!,1989.0,6.0,7.0,7.0,9.0,60.0,55.0,50.0,10.0,10.0,0.0
142,143.0,2.0,72.41,73.96,59.33,62.97,68.12,63.92,51.16,44.86,2.0,30.0,1.0,10.0,3.0,2.0,#NULL!,1990.0,6.0,8.0,3.0,4.0,28.0,20.0,21.0,0.0,0.0,0.0
478,479.0,2.0,63.24,72.12,44.45,67.55,63.52,61.58,51.11,74.09,2.0,10.0,1.0,6.0,3.0,5.0,1,1992.0,6.0,5.0,3.0,5.0,35.0,23.0,19.0,15.0,0.0,0.0
604,605.0,2.0,42.72,44.45,33.34,47.7,36.4,39.15,44.44,44.43,2.0,11.0,1.0,3.0,3.0,2.0,#NULL!,1995.0,5.0,4.0,3.0,8.0,30.0,15.0,20.0,20.0,15.0,0.0
694,695.0,1.0,71.3,60.03,48.07,67.08,72.91,72.49,51.17,51.44,1.0,4.0,1.0,3.0,4.0,2.0,#NULL!,1997.0,5.0,2.0,4.0,8.0,40.0,10.0,15.0,50.0,10.0,0.0
1037,1038.0,2.0,41.7,35.77,37.09,37.48,33.32,39.15,35.62,37.0,2.0,29.0,2.0,2.0,5.0,6.0,1,1991.0,5.0,4.0,1.0,5.0,6.0,9.0,25.0,13.0,0.0,0.0
1081,1082.0,1.0,42.61,45.58,37.09,41.17,38.11,41.69,39.86,40.33,2.0,32.0,1.0,12.0,3.0,5.0,1,1988.0,6.0,12.0,6.0,1.0,37.0,33.0,33.0,25.0,0.0,0.0
1168,1169.0,2.0,53.73,55.84,44.6,54.65,44.37,44.98,48.65,52.57,2.0,12.0,1.0,4.0,4.0,5.0,2,1993.0,5.0,5.0,3.0,5.0,80.0,70.0,54.0,0.0,0.0,0.0
604,605.0,2.0,42.72,44.45,33.34,47.7,36.4,39.15,44.44,44.43,2.0,11.0,1.0,3.0,3.0,2.0,#NULL!,1995.0,5.0,4.0,3.0,8.0,30.0,15.0,20.0,20.0,15.0,0.0
478,479.0,2.0,63.24,72.12,44.45,67.55,63.52,61.58,51.11,74.09,2.0,10.0,1.0,6.0,3.0,5.0,1,1992.0,6.0,5.0,3.0,5.0,35.0,23.0,19.0,15.0,0.0,0.0
142,143.0,2.0,72.41,73.96,59.33,62.97,68.12,63.92,51.16,44.86,2.0,30.0,1.0,10.0,3.0,2.0,#NULL!,1990.0,6.0,8.0,3.0,4.0,28.0,20.0,21.0,0.0,0.0,0.0
1414,1415.0,2.0,60.24,51.1,62.79,52.28,59.96,52.48,53.08,56.32,2.0,23.0,1.0,3.0,3.0,2.0,#NULL!,1997.0,5.0,2.0,4.0,8.0,24.0,15.0,10.0,0.0,0.0,0.0
142,143.0,2.0,72.41,73.96,59.33,62.97,68.12,63.92,51.16,44.86,2.0,30.0,1.0,10.0,3.0,2.0,#NULL!,1990.0,6.0,8.0,3.0,4.0,28.0,20.0,21.0,0.0,0.0,0.0
1510,1511.0,2.0,46.55,53.18,51.96,40.7,42.65,44.44,35.66,41.1,1.0,30.0,2.0,10.0,3.0,5.0,1,1980.0,5.0,16.0,4.0,7.0,10.0,5.0,4.0,20.0,20.0,0.0
1529,1530.0,1.0,47.03,51.92,55.58,51.86,47.51,47.51,48.83,47.76,2.0,40.0,2.0,20.0,3.0,5.0,1,1980.0,6.0,20.0,3.0,2.0,50.0,40.0,40.0,10.0,5.0,0.0
604,605.0,2.0,42.72,44.45,33.34,47.7,36.4,39.15,44.44,44.43,2.0,11.0,1.0,3.0,3.0,2.0,#NULL!,1995.0,5.0,4.0,3.0,8.0,30.0,15.0,20.0,20.0,15.0,0.0
1757,1758.0,2.0,33.16,41.56,40.7,37.48,25.23,39.15,37.89,33.32,1.0,13.0,1.0,2.0,3.0,5.0,1,1992.0,6.0,3.0,4.0,7.0,14.0,19.0,25.0,14.0,5.0,0.0
142,143.0,2.0,72.41,73.96,59.33,62.97,68.12,63.92,51.16,44.86,2.0,30.0,1.0,10.0,3.0,2.0,#NULL!,1990.0,6.0,8.0,3.0,4.0,28.0,20.0,21.0,0.0,0.0,0.0
7,8.0,3.0,59.08,48.15,44.45,60.13,55.55,55.56,40.06,44.43,1.0,22.0,6.0,2.0,4.0,4.0,#NULL!,1999.0,5.0,1.0,5.0,8.0,22.0,14.0,8.0,20.0,20.0,0.0
19,20.0,3.0,63.38,51.77,40.7,59.66,53.93,50.59,57.65,47.41,1.0,2.0,3.0,4.0,3.0,5.0,1,1994.0,6.0,4.0,4.0,8.0,40.0,14.0,21.0,15.0,0.0,0.0
142,143.0,2.0,72.41,73.96,59.33,62.97,68.12,63.92,51.16,44.86,2.0,30.0,1.0,10.0,3.0,2.0,#NULL!,1990.0,6.0,8.0,3.0,4.0,28.0,20.0,21.0,0.0,0.0,0.0
7,8.0,3.0,59.08,48.15,44.45,60.13,55.55,55.56,40.06,44.43,1.0,22.0,6.0,2.0,4.0,4.0,#NULL!,1999.0,5.0,1.0,5.0,8.0,22.0,14.0,8.0,20.0,20.0,0.0
7,8.0,3.0,59.08,48.15,44.45,60.13,55.55,55.56,40.06,44.43,1.0,22.0,6.0,2.0,4.0,4.0,#NULL!,1999.0,5.0,1.0,5.0,8.0,22.0,14.0,8.0,20.0,20.0,0.0
1037,1038.0,2.0,41.7,35.77,37.09,37.48,33.32,39.15,35.62,37.0,2.0,29.0,2.0,2.0,5.0,6.0,1,1991.0,5.0,4.0,1.0,5.0,6.0,9.0,25.0,13.0,0.0,0.0
1081,1082.0,1.0,42.61,45.58,37.09,41.17,38.11,41.69,39.86,40.33,2.0,32.0,1.0,12.0,3.0,5.0,1,1988.0,6.0,12.0,6.0,1.0,37.0,33.0,33.0,25.0,0.0,0.0
1123,1124.0,2.0,61.66,71.08,48.36,66.13,44.87,91.09,55.62,49.97,2.0,38.0,1.0,11.0,3.0,5.0,1,1982.0,5.0,15.0,7.0,9.0,13.0,5.0,10.0,20.0,13.0,0.0
7,8.0,3.0,59.08,48.15,44.45,60.13,55.55,55.56,40.06,44.43,1.0,22.0,6.0,2.0,4.0,4.0,#NULL!,1999.0,5.0,1.0,5.0,8.0,22.0,14.0,8.0,20.0,20.0,0.0
1510,1511.0,2.0,46.55,53.18,51.96,40.7,42.65,44.44,35.66,41.1,1.0,30.0,2.0,10.0,3.0,5.0,1,1980.0,5.0,16.0,4.0,7.0,10.0,5.0,4.0,20.0,20.0,0.0
1529,1530.0,1.0,47.03,51.92,55.58,51.86,47.51,47.51,48.83,47.76,2.0,40.0,2.0,20.0,3.0,5.0,1,1980.0,6.0,20.0,3.0,2.0,50.0,40.0,40.0,10.0,5.0,0.0
1685,1686.0,3.0,55.58,55.58,55.58,55.55,58.62,55.56,57.65,48.11,1.0,5.0,4.0,5.0,2.0,3.0,#NULL!,1993.0,4.0,5.0,4.0,7.0,20.0,12.0,10.0,30.0,20.0,0.0
1510,1511.0,2.0,46.55,53.18,51.96,40.7,42.65,44.44,35.66,41.1,1.0,30.0,2.0,10.0,3.0,5.0,1,1980.0,5.0,16.0,4.0,7.0,10.0,5.0,4.0,20.0,20.0,0.0
1727,1728.0,1.0,86.89,91.92,96.28,87.98,84.02,83.39,84.48,50.31,1.0,8.0,2.0,6.0,3.0,5.0,1,1988.0,6.0,8.0,1.0,4.0,35.0,13.0,13.0,20.0,10.0,0.0
1757,1758.0,2.0,33.16,41.56,40.7,37.48,25.23,39.15,37.89,33.32,1.0,13.0,1.0,2.0,3.0,5.0,1,1992.0,6.0,3.0,4.0,7.0,14.0,19.0,25.0,14.0,5.0,0.0
1819,1820.0,1.0,56.54,59.39,59.33,51.81,57.21,56.09,51.16,50.67,2.0,20.0,1.0,2.0,3.0,7.0,#NULL!,1988.0,6.0,9.0,6.0,2.0,45.0,18.0,6.0,30.0,25.0,0.0
1847,1848.0,2.0,62.01,54.55,62.94,69.92,63.74,55.22,66.43,48.54,1.0,11.0,2.0,8.0,3.0,5.0,1,1978.0,5.0,20.0,4.0,3.0,30.0,14.0,10.0,15.0,30.0,0.0
115,116.0,2.0,74.48,77.8,59.18,77.77,77.76,77.77,86.53,77.76,3.0,6.0,5.0,15.0,4.0,5.0,2,1982.0,4.0,16.0,4.0,6.0,15.0,10.0,10.0,0.0,27.0,0.0
115,116.0,2.0,74.48,77.8,59.18,77.77,77.76,77.77,86.53,77.76,3.0,6.0,5.0,15.0,4.0,5.0,2,1982.0,4.0,16.0,4.0,6.0,15.0,10.0,10.0,0.0,27.0,0.0
115,116.0,2.0,74.48,77.8,59.18,77.77,77.76,77.77,86.53,77.76,3.0,6.0,5.0,15.0,4.0,5.0,2,1982.0,4.0,16.0,4.0,6.0,15.0,10.0,10.0,0.0,27.0,0.0
115,116.0,2.0,74.48,77.8,59.18,77.77,77.76,77.77,86.53,77.76,3.0,6.0,5.0,15.0,4.0,5.0,2,1982.0,4.0,16.0,4.0,6.0,15.0,10.0,10.0,0.0,27.0,0.0
19,20.0,3.0,63.38,51.77,40.7,59.66,53.93,50.59,57.65,47.41,1.0,2.0,3.0,4.0,3.0,5.0,1,1994.0,6.0,4.0,4.0,8.0,40.0,14.0,21.0,15.0,0.0,0.0
44,45.0,1.0,81.49,81.97,85.17,81.45,81.0,83.6,84.44,73.66,2.0,48.0,1.0,15.0,3.0,1.0,1,1971.0,5.0,25.0,4.0,9.0,60.0,50.0,40.0,0.0,0.0,1.0
57,58.0,1.0,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2.0,60.0,1.0,30.0,3.0,5.0,1,1960.0,5.0,38.0,4.0,1.0,35.0,12.0,19.0,15.0,0.0,0.0
76,77.0,2.0,73.39,71.11,77.81,66.66,69.67,69.41,73.34,70.33,2.0,45.0,4.0,15.0,2.0,3.0,#NULL!,1975.0,5.0,20.0,3.0,4.0,20.0,15.0,18.0,30.0,10.0,0.0
202,203.0,2.0,88.92,88.92,88.92,85.61,88.87,88.88,88.88,88.87,2.0,51.0,4.0,12.0,5.0,6.0,1,1969.0,6.0,27.0,4.0,2.0,32.0,12.0,12.0,0.0,30.0,0.0
76,77.0,2.0,73.39,71.11,77.81,66.66,69.67,69.41,73.34,70.33,2.0,45.0,4.0,15.0,2.0,3.0,#NULL!,1975.0,5.0,20.0,3.0,4.0,20.0,15.0,18.0,30.0,10.0,0.0
19,20.0,3.0,63.38,51.77,40.7,59.66,53.93,50.59,57.65,47.41,1.0,2.0,3.0,4.0,3.0,5.0,1,1994.0,6.0,4.0,4.0,8.0,40.0,14.0,21.0,15.0,0.0,0.0
19,20.0,3.0,63.38,51.77,40.7,59.66,53.93,50.59,57.65,47.41,1.0,2.0,3.0,4.0,3.0,5.0,1,1994.0,6.0,4.0,4.0,8.0,40.0,14.0,21.0,15.0,0.0,0.0
76,77.0,2.0,73.39,71.11,77.81,66.66,69.67,69.41,73.34,70.33,2.0,45.0,4.0,15.0,2.0,3.0,#NULL!,1975.0,5.0,20.0,3.0,4.0,20.0,15.0,18.0,30.0,10.0,0.0
19,20.0,3.0,63.38,51.77,40.7,59.66,53.93,50.59,57.65,47.41,1.0,2.0,3.0,4.0,3.0,5.0,1,1994.0,6.0,4.0,4.0,8.0,40.0,14.0,21.0,15.0,0.0,0.0
76,77.0,2.0,73.39,71.11,77.81,66.66,69.67,69.41,73.34,70.33,2.0,45.0,4.0,15.0,2.0,3.0,#NULL!,1975.0,5.0,20.0,3.0,4.0,20.0,15.0,18.0,30.0,10.0,0.0
19,20.0,3.0,63.38,51.77,40.7,59.66,53.93,50.59,57.65,47.41,1.0,2.0,3.0,4.0,3.0,5.0,1,1994.0,6.0,4.0,4.0,8.0,40.0,14.0,21.0,15.0,0.0,0.0
76,77.0,2.0,73.39,71.11,77.81,66.66,69.67,69.41,73.34,70.33,2.0,45.0,4.0,15.0,2.0,3.0,#NULL!,1975.0,5.0,20.0,3.0,4.0,20.0,15.0,18.0,30.0,10.0,0.0
19,20.0,3.0,63.38,51.77,40.7,59.66,53.93,50.59,57.65,47.41,1.0,2.0,3.0,4.0,3.0,5.0,1,1994.0,6.0,4.0,4.0,8.0,40.0,14.0,21.0,15.0,0.0,0.0
1082,1083.0,2.0,97.08,95.98,96.28,95.82,87.26,94.7,93.26,92.2,2.0,47.0,1.0,16.0,3.0,5.0,1,1972.0,6.0,25.0,5.0,6.0,7.0,6.0,5.0,15.0,0.0,0.0
1160,1161.0,2.0,83.87,84.64,81.56,84.24,86.71,73.02,75.71,80.32,2.0,46.0,1.0,6.0,6.0,6.0,1,1974.0,6.0,23.0,7.0,9.0,15.0,12.0,10.0,26.0,15.0,0.0
1193,1194.0,2.0,64.66,66.69,62.94,66.66,66.65,66.66,66.67,66.66,1.0,1.0,4.0,1.0,3.0,5.0,1,1994.0,5.0,5.0,4.0,8.0,12.0,5.0,5.0,15.0,20.0,0.0
1202,1203.0,2.0,79.84,97.64,99.03,99.98,99.98,99.99,99.99,99.98,2.0,56.0,1.0,15.0,3.0,5.0,1,1964.0,5.0,35.0,3.0,5.0,16.0,5.0,3.0,20.0,25.0,0.0
19,20.0,3.0,63.38,51.77,40.7,59.66,53.93,50.59,57.65,47.41,1.0,2.0,3.0,4.0,3.0,5.0,1,1994.0,6.0,4.0,4.0,8.0,40.0,14.0,21.0,15.0,0.0,0.0
19,20.0,3.0,63.38,51.77,40.7,59.66,53.93,50.59,57.65,47.41,1.0,2.0,3.0,4.0,3.0,5.0,1,1994.0,6.0,4.0,4.0,8.0,40.0,14.0,21.0,15.0,0.0,0.0
44,45.0,1.0,81.49,81.97,85.17,81.45,81.0,83.6,84.44,73.66,2.0,48.0,1.0,15.0,3.0,1.0,1,1971.0,5.0,25.0,4.0,9.0,60.0,50.0,40.0,0.0,0.0,1.0
44,45.0,1.0,81.49,81.97,85.17,81.45,81.0,83.6,84.44,73.66,2.0,48.0,1.0,15.0,3.0,1.0,1,1971.0,5.0,25.0,4.0,9.0,60.0,50.0,40.0,0.0,0.0,1.0
1555,1556.0,1.0,81.12,88.92,88.92,88.88,88.87,88.88,80.05,81.87,2.0,50.0,2.0,30.0,3.0,5.0,1,1970.0,6.0,25.0,6.0,2.0,50.0,40.0,46.0,0.0,0.0,1.0
1160,1161.0,2.0,83.87,84.64,81.56,84.24,86.71,73.02,75.71,80.32,2.0,46.0,1.0,6.0,6.0,6.0,1,1974.0,6.0,23.0,7.0,9.0,15.0,12.0,10.0,26.0,15.0,0.0
19,20.0,3.0,63.38,51.77,40.7,59.66,53.93,50.59,57.65,47.41,1.0,2.0,3.0,4.0,3.0,5.0,1,1994.0,6.0,4.0,4.0,8.0,40.0,14.0,21.0,15.0,0.0,0.0
76,77.0,2.0,73.39,71.11,77.81,66.66,69.67,69.41,73.34,70.33,2.0,45.0,4.0,15.0,2.0,3.0,#NULL!,1975.0,5.0,20.0,3.0,4.0,20.0,15.0,18.0,30.0,10.0,0.0
202,203.0,2.0,88.92,88.92,88.92,85.61,88.87,88.88,88.88,88.87,2.0,51.0,4.0,12.0,5.0,6.0,1,1969.0,6.0,27.0,4.0,2.0,32.0,12.0,12.0,0.0,30.0,0.0
76,77.0,2.0,73.39,71.11,77.81,66.66,69.67,69.41,73.34,70.33,2.0,45.0,4.0,15.0,2.0,3.0,#NULL!,1975.0,5.0,20.0,3.0,4.0,20.0,15.0,18.0,30.0,10.0,0.0
1082,1083.0,2.0,97.08,95.98,96.28,95.82,87.26,94.7,93.26,92.2,2.0,47.0,1.0,16.0,3.0,5.0,1,1972.0,6.0,25.0,5.0,6.0,7.0,6.0,5.0,15.0,0.0,0.0
1892,1893.0,1.0,88.92,88.92,88.92,88.88,88.87,88.88,88.88,92.98,2.0,49.0,1.0,1.0,5.0,6.0,1,1970.0,5.0,25.0,4.0,2.0,15.0,10.0,4.0,20.0,0.0,0.0
7,8.0,3.0,59.08,48.15,44.45,60.13,55.55,55.56,40.06,44.43,1.0,22.0,6.0,2.0,4.0,4.0,#NULL!,1999.0,5.0,1.0,5.0,8.0,22.0,14.0,8.0,20.0,20.0,0.0
59,60.0,2.0,68.73,66.69,62.94,70.34,58.56,77.77,71.24,63.33,1.0,11.0,5.0,6.0,2.0,3.0,#NULL!,1987.0,5.0,11.0,4.0,4.0,8.0,16.0,15.0,35.0,10.0,0.0
59,60.0,2.0,68.73,66.69,62.94,70.34,58.56,77.77,71.24,63.33,1.0,11.0,5.0,6.0,2.0,3.0,#NULL!,1987.0,5.0,11.0,4.0,4.0,8.0,16.0,15.0,35.0,10.0,0.0
59,60.0,2.0,68.73,66.69,62.94,70.34,58.56,77.77,71.24,63.33,1.0,11.0,5.0,6.0,2.0,3.0,#NULL!,1987.0,5.0,11.0,4.0,4.0,8.0,16.0,15.0,35.0,10.0,0.0
59,60.0,2.0,68.73,66.69,62.94,70.34,58.56,77.77,71.24,63.33,1.0,11.0,5.0,6.0,2.0,3.0,#NULL!,1987.0,5.0,11.0,4.0,4.0,8.0,16.0,15.0,35.0,10.0,0.0
59,60.0,2.0,68.73,66.69,62.94,70.34,58.56,77.77,71.24,63.33,1.0,11.0,5.0,6.0,2.0,3.0,#NULL!,1987.0,5.0,11.0,4.0,4.0,8.0,16.0,15.0,35.0,10.0,0.0
59,60.0,2.0,68.73,66.69,62.94,70.34,58.56,77.77,71.24,63.33,1.0,11.0,5.0,6.0,2.0,3.0,#NULL!,1987.0,5.0,11.0,4.0,4.0,8.0,16.0,15.0,35.0,10.0,0.0
59,60.0,2.0,68.73,66.69,62.94,70.34,58.56,77.77,71.24,63.33,1.0,11.0,5.0,6.0,2.0,3.0,#NULL!,1987.0,5.0,11.0,4.0,4.0,8.0,16.0,15.0,35.0,10.0,0.0
59,60.0,2.0,68.73,66.69,62.94,70.34,58.56,77.77,71.24,63.33,1.0,11.0,5.0,6.0,2.0,3.0,#NULL!,1987.0,5.0,11.0,4.0,4.0,8.0,16.0,15.0,35.0,10.0,0.0
7,8.0,3.0,59.08,48.15,44.45,60.13,55.55,55.56,40.06,44.43,1.0,22.0,6.0,2.0,4.0,4.0,#NULL!,1999.0,5.0,1.0,5.0,8.0,22.0,14.0,8.0,20.0,20.0,0.0
59,60.0,2.0,68.73,66.69,62.94,70.34,58.56,77.77,71.24,63.33,1.0,11.0,5.0,6.0,2.0,3.0,#NULL!,1987.0,5.0,11.0,4.0,4.0,8.0,16.0,15.0,35.0,10.0,0.0
45,46.0,1.0,63.2,73.39,59.33,66.66,63.64,72.49,66.67,63.33,1.0,15.0,2.0,21.0,5.0,6.0,1,1975.0,8.0,17.0,3.0,3.0,49.0,11.0,28.0,10.0,0.0,0.0
57,58.0,1.0,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2.0,60.0,1.0,30.0,3.0,5.0,1,1960.0,5.0,38.0,4.0,1.0,35.0,12.0,19.0,15.0,0.0,0.0
45,46.0,1.0,63.2,73.39,59.33,66.66,63.64,72.49,66.67,63.33,1.0,15.0,2.0,21.0,5.0,6.0,1,1975.0,8.0,17.0,3.0,3.0,49.0,11.0,28.0,10.0,0.0,0.0
45,46.0,1.0,63.2,73.39,59.33,66.66,63.64,72.49,66.67,63.33,1.0,15.0,2.0,21.0,5.0,6.0,1,1975.0,8.0,17.0,3.0,3.0,49.0,11.0,28.0,10.0,0.0,0.0
683,684.0,1.0,80.95,84.46,88.92,81.93,82.08,83.06,82.35,78.89,2.0,45.0,1.0,25.0,4.0,5.0,2,1975.0,5.0,25.0,3.0,4.0,30.0,20.0,10.0,30.0,16.0,0.0
45,46.0,1.0,63.2,73.39,59.33,66.66,63.64,72.49,66.67,63.33,1.0,15.0,2.0,21.0,5.0,6.0,1,1975.0,8.0,17.0,3.0,3.0,49.0,11.0,28.0,10.0,0.0,0.0
1483,1484.0,1.0,86.89,88.92,88.92,88.88,85.79,88.88,88.88,85.54,2.0,48.0,3.0,24.0,5.0,6.0,1,1972.0,3.0,30.0,4.0,2.0,25.0,14.0,8.0,20.0,33.0,0.0
1483,1484.0,1.0,86.89,88.92,88.92,88.88,85.79,88.88,88.88,85.54,2.0,48.0,3.0,24.0,5.0,6.0,1,1972.0,3.0,30.0,4.0,2.0,25.0,14.0,8.0,20.0,33.0,0.0
